34.13,1,0
34.25,1,0
34.25,1,0
34.25,1,0
34.31,1,0
34.31,1,0
34.38,1,0
34.31,1,0
34.31,1,0
34.31,1,0
34.31,1,0
34.38,1,0
34.38,1,0
34.38,1,0
34.38,1,0
34.38,1,0
34.06,1,1
33.75,1,1
33.69,1,1
33.56,1,1
33.50,1,1
32.88,2,2
33.06,2,2
33.31,2,2
33.31,2,2
33.38,2,2
33.44,3,2
33.44,2,2
33.50,1,1
33.56,2,1
33.56,2,1
33.63,2,1
33.63,2,1
33.69,1,1
33.88,1,1
34.00,1,0
33.94,1,1
34.06,1,0
34.00,1,0
34.00,1,0
34.00,1,0
34.06,1,0
34.06,1,0
34.00,1,0
34.00,1,0
34.00,1,0
34.06,1,0
34.06,1,0
34.00,1,0
34.00,1,0
32.19,1,3
33.00,2,3
32.56,3,3
32.56,5,3
33.63,2,1
32.63,4,3
32.69,2,3
32.75,2,3
34.81,4,0
31.88,2,4
31.88,2,4
31.94,2,4
31.94,2,4
31.94,3,4
31.69,1,4
31.13,3,4
31.00,3,4
31.88,2,4
31.63,4,4
31.50,4,4
31.44,4,4
31.31,4,4
32.44,4,3
32.69,4,3
33.00,4,3
33.19,4,3
33.31,4,3
33.44,3,3
33.56,4,3
31.63,3,4
31.69,4,4
31.75,4,4
31.75,4,4
33.81,4,1
33.88,4,1
33.94,4,1
31.94,4,4
31.06,4,4
31.06,4,4
34.13,4,0
